ID;Especialidad;Marca;Pais_Origen;Variedad_tipo_cafe;Nombre_producto;Description;Fuente_puntuacion;Puntuacion_oficial;Notas_cata;Formato_cafe;Cafeina;Tueste;Proceso;Ratio_recomendado;Molienda_recomendada;Aroma;Sabor;Retrogusto;Acidez;Cuerpo;Uniformidad;Dulzura;Total_puntuacion;cod_barras;url_image;url_producto
KOFIO-19490;Arábica;Kmen Coffee Roasters;Colombia;Bourbon;Colombia LUCELLY AVILES - New Year's eve limited edition - 200g;Colombia LUCELLY AVILES - New Year's eve limited edition - 200g (Kmen Coffee Roasters) trae un perfil que recuerda a caramelo y fruta madura. Su proceso honey lo hace especialmente expresivo y mantiene un carácter luminoso y aromático, con un final limpio y apetecible. Va genial solo, pero también brilla con leche si buscas algo más goloso. Si lo tuyo es el ritual diario, aquí hay combustible de calidad. Dulzor clásico y redondo, muy fácil de disfrutar.;;;cítrico, fruta tropical, dulzor, claridad, cacao;grano;si;ligero;honey;1:16;media;10;8;8;10;8;8;10;62;;https://st.kofio.co/img_product/YXQEU4u1AGjfnwJ/19490/FeNPK1bYHvRzgfoA2DlE_109439.png;https://www.kofio.co/coffee/colombia-lucelly-aviles-new-year-s-eve-limited-edition-200g-kmen-coffee-roasters/19490
KOFIO-19024;Mezcla;Square Mile;Mexico, Kenya;SL28;WINTER FILTER blend - winter limited edition;WINTER FILTER blend - winter limited edition (Square Mile) trae un perfil que recuerda a acidez chispeante y fruta negra. Su proceso lavado lo hace especialmente expresivo y mantiene un carácter luminoso y aromático, con un final limpio y apetecible. Va genial solo, pero también brilla con leche si buscas algo más goloso. Si lo tuyo es el ritual diario, aquí hay combustible de calidad. Perfil vibrante y jugoso: muy de ‘wow’ en taza.;;;frutos rojos, claridad, cítrico, floral, flor blanca;grano;si;ligero;lavado;1:16;media;10;8;10;10;6;10;8;62;;https://st.kofio.co/img_product/XrMEhWnPGUiHjR9/19024/tSlcXjBYT6sI7rwqGdVC_100776.png;https://www.kofio.co/coffee/winter-filter-blend-winter-limited-edition-square-mile/19024
KOFIO-19220;Arábica;Kaffa;Colombia;Geisha;Colombia WILDER LAZO - Stellar Origin special edition - 150g;Colombia WILDER LAZO - Stellar Origin special edition - 150g (Kaffa) trae un perfil que recuerda a caramelo y fruta madura. y mantiene un carácter equilibrado y versátil, con un final limpio y apetecible. Ideal para cuando quieres una taza con personalidad sin complicarte. Un café que despierta sin gritar: energía con buen gusto. Si te van los perfiles finos y florales, este va directo a tu lista de favoritos.;;;cacao, caramelo, dulzor, equilibrio, té;grano;si;Medio;experimental;1:16;media;8;8;8;8;8;8;8;56;;https://st.kofio.co/img_product/HdLDupTN8RMBVEt/19220/TNvfULgIHJdu5iZezwpX_125899.png;https://www.kofio.co/coffee/colombia-wilder-lazo-stellar-origin-special-edition-150g-kaffa/19220
KOFIO-19299;Arábica;Doubleshot;Panama;Caturra,Catuai;Panama CRUSH - limited edition - Kofio collab;Panama CRUSH - limited edition - Kofio collab (Doubleshot) trae un perfil que recuerda a una taza versátil y disfrutona. Su proceso natural lo hace especialmente expresivo y mantiene un carácter luminoso y aromático, con un final limpio y apetecible. Perfecto para el ritual diario: consistente, rico y sin sorpresas raras. Un café que despierta sin gritar: energía con buen gusto. De los que ganan puntos a medida que se enfría la taza.;;;cítrico, caramelo, aroma amable, frutos secos, equilibrado;grano;si;ligero;natural;1:16;media;10;8;8;10;8;6;10;60;;https://st.kofio.co/img_product/FRyreLDGEf619SU/19299/2OBZdtPAYUvuNCSmwxnJ_111126.png;https://www.kofio.co/coffee/panama-crush-limited-edition-kofio-collab-doubleshot/19299
KOFIO-18311;Arábica;DAK Coffee Roasters;Colombia;Caturra Chiroso;Colombia CREAM DONUT;Colombia CREAM DONUT (DAK Coffee Roasters) trae un perfil que recuerda a caramelo y fruta madura. y mantiene un carácter luminoso y aromático, con un final limpio y apetecible. Si te gustan las tazas aromáticas y con matiz, aquí hay diversión. Hecho para empezar el día con una sonrisa (y una taza sólida). Con una selección cuidada que se nota en aroma y final.;;;manzana, cacao, caramelo, panela, floral;grano;si;ligero;experimental;1:16;media;10;8;8;10;6;8;8;58;;https://st.kofio.co/img_product/boeV9yxzHn2OwWv/18311/Yg0u5oP7d49bVHRsjCTi_102573.png;https://www.kofio.co/coffee/colombia-cream-donut-dak-coffee-roasters/18311
KOFIO-18095;Arábica;DAK Coffee Roasters;Ethiopia;Heirloom;Ethiopia BERRY BLUES;Ethiopia BERRY BLUES (DAK Coffee Roasters) trae un perfil que recuerda a una taza versátil y disfrutona. y mantiene un carácter luminoso y aromático, con un final limpio y apetecible. Va genial solo, pero también brilla con leche si buscas algo más goloso. Hecho para empezar el día con una sonrisa (y una taza sólida). De los que ganan puntos a medida que se enfría la taza.;;;frutos secos, cacao, caramelo, aroma amable, equilibrado;grano;si;ligero;experimental;1:16;media;10;8;8;10;6;8;8;58;;https://st.kofio.co/img_product/boeV9yxzHn2OwWv/18095/ynlc61u0JGRTsYMC8PmD_102573.png;https://www.kofio.co/coffee/ethiopia-berry-blues-dak-coffee-roasters/18095
KOFIO-15048;Arábica;The Coffee Collective;Bolivia;Geisha;Bolivia TAKESI GEISHA;Bolivia TAKESI GEISHA (The Coffee Collective) trae un perfil que recuerda a perfil redondo y amable. Su proceso lavado lo hace especialmente expresivo y mantiene un carácter luminoso y aromático, con un final limpio y apetecible. Ideal para cuando quieres una taza con personalidad sin complicarte. Un café que despierta sin gritar: energía con buen gusto. Si te van los perfiles finos y florales, este va directo a tu lista de favoritos.;;;cacao, cítrico, té, elegante, equilibrado;grano;si;ligero;lavado;1:16;media;10;8;10;10;6;10;8;62;;https://st.kofio.co/img_product/wvPWgZyQNpUzKs9/15048/shiX0BHWLU2w5Qnjk9Zr_505.png;https://www.kofio.co/coffee/bolivia-takesi-geisha-the-coffee-collective/15048
KOFIO-19605;Arábica;The naughty dog;Colombia;Geisha;Colombia EL MIRADOR - Geisha;Colombia EL MIRADOR - Geisha (The naughty dog) trae un perfil que recuerda a equilibrio dulce y limpio. Su proceso natural lo hace especialmente expresivo y mantiene un carácter luminoso y aromático, con un final limpio y apetecible. Si te gustan las tazas aromáticas y con matiz, aquí hay diversión. Hecho para empezar el día con una sonrisa (y una taza sólida). Si te van los perfiles finos y florales, este va directo a tu lista de favoritos.;;;caramelo, fruta tropical, floral, cuerpo, fruta madura;grano;si;ligero;natural;1:16;media;10;8;8;10;8;6;10;60;;https://st.kofio.co/img_product/iqXzFhp0ZJ7KInQ/19605/EIbhAvzQ3CSqtxFfM62r_612.png;https://www.kofio.co/coffee/colombia-el-mirador-geisha-the-naughty-dog/19605
KOFIO-18952;Arábica;The Barn;El Salvador;Bourbon;El Salvador CHRISTMAS COFFEE (Finca Himalaya);El Salvador CHRISTMAS COFFEE (Finca Himalaya) (The Barn) trae un perfil que recuerda a caramelo y frutos secos. Su proceso natural lo hace especialmente expresivo y mantiene un carácter equilibrado y versátil, con un final limpio y apetecible. Ideal para cuando quieres una taza con personalidad sin complicarte. Si lo tuyo es el ritual diario, aquí hay combustible de calidad. Dulzor clásico y redondo, muy fácil de disfrutar.;;;dulzor, nuez, fruta madura, cuerpo, final largo;grano;si;medio;natural;1:16;media;10;8;8;8;10;6;10;60;;https://st.kofio.co/img_product/7NxaQ5BqAlOYUcC/18952/g02hEV9bSoOUmtALQKj6_558.png;https://www.kofio.co/coffee/el-salvador-christmas-coffee-finca-himalaya-the-barn/18952
KOFIO-11796;Arábica;Gringo Nordic;Colombia;Geisha;Colombia LA TIERRA - geisha;Colombia LA TIERRA - geisha (Gringo Nordic) trae un perfil que recuerda a equilibrio dulce y limpio. Su proceso natural lo hace especialmente expresivo y mantiene un carácter equilibrado y versátil, con un final limpio y apetecible. Va genial solo, pero también brilla con leche si buscas algo más goloso. Un café que despierta sin gritar: energía con buen gusto. Si te van los perfiles finos y florales, este va directo a tu lista de favoritos.;;;panela, cuerpo, manzana, cacao, fruta tropical;grano;si;medio;natural;1:16;media;10;8;8;8;10;6;10;60;;https://st.kofio.co/img_product/E9lsI0PhjNkTngd/11796/MXq5dkraQ8NFcIpB6x7u_100938.png;https://www.kofio.co/coffee/colombia-la-tierra-geisha-gringo-nordic/11796
KOFIO-12849;Mezcla;Square Mile;Guatemal, Colombia;;SWEETSHOP ESPRESSO blend - 07/23;SWEETSHOP ESPRESSO blend - 07/23 (Square Mile) trae un perfil que recuerda a panela y cacao. Su proceso lavado lo hace especialmente expresivo y mantiene un carácter más cremoso y goloso, con un final limpio y apetecible. Perfecto para el ritual diario: consistente, rico y sin sorpresas raras. Un café que despierta sin gritar: energía con buen gusto.;;;taza limpia, cuerpo, brillante, manzana, fruta tropical;grano;si;medio-oscuro;lavado;1:2.2;fina;8;8;10;8;10;10;8;62;;https://st.kofio.co/img_product/XrMEhWnPGUiHjR9/12849/CKVmIdvrlc4EzUJS7gOM_100776.png;https://www.kofio.co/coffee/sweetshop-espresso-blend-07-23-square-mile/12849
KOFIO-5190;Mezcla;Concept Coffee Roasters;Ethiopia, Brazil;;HOLYSH*T! espresso blend;HOLYSH*T! espresso blend (Concept Coffee Roasters) trae un perfil que recuerda a cacao y avellana. Su proceso natural lo hace especialmente expresivo y mantiene un carácter más cremoso y goloso, con un final limpio y apetecible. Ideal para cuando quieres una taza con personalidad sin complicarte. Un café que despierta sin gritar: energía con buen gusto.;;;fruta madura, avellana, nuez, chocolate con leche, cuerpo;grano;si;medio-oscuro;natural;1:2.2;fina;10;8;8;4;10;6;10;56;;https://st.kofio.co/img_product/vuPScN1b6GtDrUY/5190/Wc5GD2jOE6rHPVTZtoFz_100240.png;https://www.kofio.co/coffee/holyshit-espresso-blend-concept-coffee-roasters/5190
KOFIO-12566;Mezcla;Five Elephant;El Salvador;Bourbon;HOUSE ESPRESSO Blend;HOUSE ESPRESSO Blend (Five Elephant) trae un perfil que recuerda a textura sedosa y dulzor. Su proceso lavado lo hace especialmente expresivo y mantiene un carácter más cremoso y goloso, con un final limpio y apetecible. Si te gustan las tazas aromáticas y con matiz, aquí hay diversión. Hecho para empezar el día con una sonrisa (y una taza sólida). Dulzor clásico y redondo, muy fácil de disfrutar.;;;cacao, nuez, dulzor, brillante, textura sedosa;grano;si;medio-oscuro;lavado;1:2.2;fina;8;8;10;8;10;10;8;62;;https://st.kofio.co/img_product/JawWbUBCngeRf2o/12566/nAuEzHfILxbDhGV7CiqY_693.png;https://www.kofio.co/coffee/house-espresso-blend-five-elephant/12566
NOMAD-E.SA.BRIS;Arábica;Nomad Coffee;El Salvador;Bourbon, Pacas;Las Brisas;Las Brisas (Nomad Coffee) trae un perfil que recuerda a caramelo y frutos secos. Su proceso lavado lo hace especialmente expresivo y mantiene un carácter equilibrado y versátil, con un final limpio y apetecible. Ideal para cuando quieres una taza con personalidad sin complicarte. Hecho para empezar el día con una sonrisa (y una taza sólida). Dulzor clásico y redondo, muy fácil de disfrutar.;;;cacao, textura sedosa, dulzor, caramelo, final largo;grano;si;medio;lavado;18g/38g (espresso, 27s);fina;8;8;10;10;8;10;8;62;;https://nomadcoffee.es/cdn/shop/files/E.SA.BRIS.jpg?v=1757071812;https://nomadcoffee.es/products/las-brisas
NOMAD-E.GU.PRIM;Arábica;Nomad Coffee;Guatemala;Caturra, Catuai, Bourbon;Primavera Family;Primavera Family (Nomad Coffee) trae un perfil que recuerda a toffee y cacao. Su proceso lavado lo hace especialmente expresivo y mantiene un carácter equilibrado y versátil, con un final limpio y apetecible. Si te gustan las tazas aromáticas y con matiz, aquí hay diversión. Un café que despierta sin gritar: energía con buen gusto. Dulzor clásico y redondo, muy fácil de disfrutar.;;;cacao, caramelo, equilibrio, frutos secos, definido;grano;si;medio;lavado;;fina;8;8;10;10;8;10;8;62;;https://nomadcoffee.es/cdn/shop/files/E.GU.PRIM.jpg?v=1757071882;https://nomadcoffee.es/products/primavera-espresso
NOMAD-E.TA.KORO;Arábica;Nomad Coffee;Tanzania;Blue Mountain, Bourbon, SL28, Typica;Korongo;Korongo (Nomad Coffee) trae un perfil que recuerda a equilibrio y sabor fácil. Su proceso lavado lo hace especialmente expresivo y mantiene un carácter equilibrado y versátil, con un final limpio y apetecible. Si te gustan las tazas aromáticas y con matiz, aquí hay diversión. Un café que despierta sin gritar: energía con buen gusto. Perfil vibrante y jugoso: muy de ‘wow’ en taza.;;;caramelo, aroma amable, taza limpia, definido, equilibrado;grano;si;medio;lavado;;fina;8;8;10;10;8;10;8;62;;https://nomadcoffee.es/cdn/shop/files/E.TA.KORO_copy.jpg?v=1748857518;https://nomadcoffee.es/products/korongo-espresso
NOMAD-AJI-LASFLORES;Arábica;Nomad Coffee;Colombia;Bourbon;Ají Las Flores;Ají Las Flores (Nomad Coffee) trae un perfil que recuerda a caramelo y fruta madura. Su proceso lavado lo hace especialmente expresivo y mantiene un carácter luminoso y aromático, con un final limpio y apetecible. Si te gustan las tazas aromáticas y con matiz, aquí hay diversión. Un café que despierta sin gritar: energía con buen gusto. Dulzor clásico y redondo, muy fácil de disfrutar.;;;floral, fruta tropical, manzana, caramelo, cítrico;grano;si;ligero;lavado;19g/270g (OREA V4, 93°C);media;10;8;10;10;6;10;8;62;;https://nomadcoffee.es/cdn/shop/files/C.CO.AJI.jpg?v=1763043742;https://nomadcoffee.es/products/aji-las-flores
NOMAD-SIDRA-LASFLORES;Arábica;Nomad Coffee;Colombia;Bourbon Sidra;Sidra Las Flores;Sidra Las Flores (Nomad Coffee) trae un perfil que recuerda a caramelo y fruta madura. Su proceso natural lo hace especialmente expresivo y mantiene un carácter luminoso y aromático, con un final limpio y apetecible. Perfecto para el ritual diario: consistente, rico y sin sorpresas raras. Si lo tuyo es el ritual diario, aquí hay combustible de calidad. Dulzor clásico y redondo, muy fácil de disfrutar.;;;fruta tropical, fruta madura, floral, caramelo, dulzor;grano;si;ligero;natural;;media;10;8;8;10;8;6;10;60;;https://nomadcoffee.es/cdn/shop/files/sidra_web.jpg?v=1761045539;https://nomadcoffee.es/products/sidra-las-flores
NOMAD-FELLOW-FARMS;Arábica;Nomad Coffee;Colombia;Gesha;Fellow Farms;Fellow Farms (Nomad Coffee) trae un perfil que recuerda a panela y cacao. Su proceso natural lo hace especialmente expresivo y mantiene un carácter luminoso y aromático, con un final limpio y apetecible. Va genial solo, pero también brilla con leche si buscas algo más goloso. Hecho para empezar el día con una sonrisa (y una taza sólida). Si te van los perfiles finos y florales, este va directo a tu lista de favoritos.;;;elegante, fruta tropical, floral, cuerpo, claridad;grano;si;ligero;natural;;media;10;8;8;10;8;6;10;60;;https://nomadcoffee.es/cdn/shop/files/C.CO.GESH_e98935f3-1bd5-4ab2-b27a-253d758f5664.jpg?v=1761039571;https://nomadcoffee.es/products/fellow-farms
HOLA-luceroblend;Mezcla;Hola Coffee;Brasil, Perú;;Lucero Blend;Lucero Blend (Hola Coffee) trae un perfil que recuerda a cacao y avellana. y mantiene un carácter equilibrado y versátil, con un final limpio y apetecible. Si te gustan las tazas aromáticas y con matiz, aquí hay diversión. Un café que despierta sin gritar: energía con buen gusto.;;;fruta madura, nuez, cuerpo, caramelo, baja acidez;grano;si;medio;Natural y Lavado;;media;10;8;10;8;10;8;10;64;;https://hola.coffee/cdn/shop/files/LUCERO-250.jpg?crop=center&height=300&v=1760527175&width=300;https://hola.coffee/collections/cafe-en-grano-o-molido/products/luceroblend
HOLA-san-isidro-blend;Mezcla;Hola Coffee; Colombia;Caturra, Tabi, Castillo;San Isidro Blend;San Isidro Blend (Hola Coffee) trae un perfil que recuerda a caramelo y fruta madura. Su proceso natural lo hace especialmente expresivo y mantiene un carácter equilibrado y versátil, con un final limpio y apetecible. Ideal para cuando quieres una taza con personalidad sin complicarte. Un café que despierta sin gritar: energía con buen gusto. Un origen y selección pensados para que cada sorbo tenga algo que contar.;;;cuerpo, cacao, fruta madura, manzana, brillante;grano;si;medio;Natural, Lavado;18g/36g (espresso, 28s);media;10;8;10;10;10;8;10;66;;https://hola.coffee/cdn/shop/files/san-isidro-blend_e6f75c10-abca-4b0c-b4fb-06affaa00438_1024x1024@2x.jpg?v=1760527298;https://hola.coffee/collections/cafe-en-grano-o-molido/products/san-isidro-blend
HOLA-indonesia-sesongot-natural;Arábica;Hola Coffee;Indonesia;Ateng, Caturra, Gayo;Indonesia - Sesongot Natural;Indonesia - Sesongot Natural (Hola Coffee) trae un perfil que recuerda a especias, cacao y cuerpo. Su proceso natural lo hace especialmente expresivo y mantiene un carácter equilibrado y versátil, con un final limpio y apetecible. Va genial solo, pero también brilla con leche si buscas algo más goloso. Hecho para empezar el día con una sonrisa (y una taza sólida). Un origen y selección pensados para que cada sorbo tenga algo que contar.;;;dulzor, cuerpo alto, tierra húmeda, especias, cacao amargo;grano;si;medio;natural;;media;10;8;8;6;10;6;10;58;;https://hola.coffee/cdn/shop/files/indonesia-natural-250v2.jpg?crop=center&height=300&v=1764325925&width=300;https://hola.coffee/collections/cafe-en-grano-o-molido/products/indonesia-sesongot-natural
HOLA-mexico-sipro;Arábica;Hola Coffee;México;;México - Sipro;México - Sipro (Hola Coffee) trae un perfil que recuerda a una taza versátil y disfrutona. Tiene un equilibrio muy agradecido, con un final limpio y apetecible. Ideal para cuando quieres una taza con personalidad sin complicarte. Un café que despierta sin gritar: energía con buen gusto.;;;caramelo, cacao, frutos secos, aroma amable, brillante;grano;si;ligero, medio;Lavado;;media;8;8;10;10;8;10;8;62;;https://hola.coffee/cdn/shop/files/sipro-1_8e9793c2-2233-4f3a-94e8-a2844464ce7c.jpg?crop=center&height=300&v=1764328706&width=300;https://hola.coffee/collections/cafe-en-grano-o-molido/products/mexico-sipro
HOLA-colombia-chocomonkey;Arábica;Hola Coffee;Colombia;;Colombia - Chocomonkey;Colombia - Chocomonkey (Hola Coffee) trae un perfil que recuerda a equilibrio dulce y limpio. y mantiene un carácter luminoso y aromático, con un final limpio y apetecible. Ideal para cuando quieres una taza con personalidad sin complicarte. Si lo tuyo es el ritual diario, aquí hay combustible de calidad.;;;fruta madura, fruta tropical, claridad, cítrico, panela;grano;si;ligero;Natural (co-fermentado con banana y cacao);;media;10;10;10;10;8;6;10;64;;https://hola.coffee/cdn/shop/files/chocomonkey-1.jpg?crop=center&height=300&v=1766063899&width=300;https://hola.coffee/collections/cafe-en-grano-o-molido/products/colombia-chocomonkey
HOLA-colombia-dos-quebradas;Arábica;Hola Coffee;Colombia;;Colombia - Dos Quebradas;Colombia - Dos Quebradas (Hola Coffee) trae un perfil que recuerda a panela y cacao. Tiene un equilibrio muy agradecido, con un final limpio y apetecible. Perfecto para el ritual diario: consistente, rico y sin sorpresas raras. Hecho para empezar el día con una sonrisa (y una taza sólida).;;;panela, cacao, brillante, fruta tropical, taza limpia;grano;si;ligero, medio;Lavado;;media;8;8;10;10;8;10;8;62;;https://hola.coffee/cdn/shop/files/dos-quebradas-1kg.jpg?crop=center&height=300&v=1764324835&width=300;https://hola.coffee/collections/cafe-en-grano-o-molido/products/colombia-dos-quebradas
HOLA-colombia-la-molienda;Arábica;Hola Coffee;Colombia;;Colombia - La Molienda;Colombia - La Molienda (Hola Coffee) trae un perfil que recuerda a caramelo y fruta madura. y mantiene un carácter luminoso y aromático, con un final limpio y apetecible. Perfecto para el ritual diario: consistente, rico y sin sorpresas raras. Si lo tuyo es el ritual diario, aquí hay combustible de calidad.;;;panela, fruta tropical, cítrico, manzana, cuerpo;grano;si;ligero;Natural;;media;10;8;8;10;8;6;10;60;;https://hola.coffee/cdn/shop/files/la-molienda-1kg.jpg?crop=center&height=300&v=1764324806&width=300;https://hola.coffee/collections/cafe-en-grano-o-molido/products/colombia-la-molienda
